Legislator	Contribution
Rep, Amodei,  Mark E.	30500.0
Rep, Baca,  Joe	486000.0
Rep, Barrow,  John	500.0
Rep, Berman,  Howard L.	16000.0
Rep, Deutch,  Theodore E.	27000.0
Rep, Goodlatte,  Bob	31000.0
Rep, Griffin,  Tim	7000.0
Rep, King,  Peter T.	74500.0
Rep, Larson,  John B.	31000.0
Rep, Lujan,  Ben Ray	419500.0
Rep, Marino,  Tom	11000.0
Rep, Nunnelee,  Alan	3000.0
Rep, Owens,  William L.	11500.0
Rep, Quayle,  Benjamin	17000.0
Rep, Ross,  Dennis A.	54500.0
Rep, Schiff,  Adam B.	23000.0
Rep, Watt,  Melvin L.	180500.0
